Protein IDs,Alpha A30P_day_1_1, Alpha A30P_day_1_2, Alpha A30P_day_10_1, Alpha A30P_day_10_2, Alpha A53T_day_1_1, Alpha A53T_day_1_2, Alpha A53T_day_10_1, Alpha A53T_day_10_2, Alpha A53T_day_30_1, Alpha A53T_day_30_2, Alpha _day_1_1, Alpha _day_1_2, Alpha _day_10_1, Alpha _day_10_2, Alpha _day_30_1, Alpha _day_30_2
E1JGP0;P53501,-2.972223133,-2.659631433,-1.854022626,-1.480599,-2.470568821,-2.520107234,-1.456286368,-1.181116725,-1.358860942,-1.705476292,-2.857887223,-2.125635809,-1.866015695,-1.395359304,-1.899802762,-1.83187147
Q9VG81,-0.428197005,-0.662049192,-0.725326838,-1.009466214,-0.753312218,0.055056793,-1.55084541,-0.916997732,-0.741469015,-1.355571462,-0.514861741,-0.477843788,-0.999884589,-0.900772134,-1.286163441,-1.216685841
Q9VSL9,-0.799621202,-0.944693267,-0.785452398,-1.049367356,-0.757379203,-1.084915129,-1.341171576,-0.911044318,-0.656103308,#VALUE!,-0.552875767,-1.189055176,-0.999249994,-1.00879836,-1.204765019,-1.723705832
Q27606,-0.87970115,-0.575937875,#VALUE!,-0.881852939,0.144699025,#VALUE!,-1.397638143,-1.423448839,-1.209328037,-0.094849382,-1.139553607,-0.979458685,-1.342597796,-1.002310161,-1.770387469,-1.208827732
Q9VQX4;Q9VQX4-2,-1.217255964,-1.895985466,-1.389299938,-1.419391383,-0.756867155,-0.97965782,-1.818019692,-1.396498274,-1.284194467,-1.856110312,-0.835677106,-1.377856788,-1.931920833,-1.710141933,-1.849180402,-1.589528635
Q9V9T5;Q8I0S9,0.415109632,0.395391894,-0.054287432,-0.314894098,0.940429889,0.158466295,-0.137711287,-0.337867435,-0.243659848,0.131852846,0.293488202,0.642378113,-0.475494955,-0.254220549,-0.811067421,-1.125006361
Q9W1F8,#VALUE!,#VALUE!,1.210575891,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,-0.137504966,-0.023665695,1.776314585,#VALUE!,0.207518077,#VALUE!,-0.705288098,-0.891187869
P55935;Q95RG1,-0.202306314,0.017494379,0.878529177,0.809249791,-0.103410386,-0.025867208,1.023255352,1.176003557,1.598603411,1.348968878,-0.100406706,-0.063152915,1.112499976,1.008415176,1.026091814,1.431355522
Q9VXY3,0.667846721,0.643394453,-0.348831175,-0.274180332,0.63978783,0.681584195,-0.814539369,-0.524873601,-0.454881688,-0.330501487,0.500598124,0.599793852,-0.509019196,-0.531218603,-1.027674958,-0.921581444
Q9I7M3;Q8INW5;Q9VIW5,-1.554739441,-1.492078535,-0.505410304,-0.606100602,-1.658037017,-1.608012374,-0.670887888,-0.611887629,0.169925001,0.219586745,-1.569993122,-1.562900127,-0.629545535,-0.686312989,-0.403484612,-0.304237749
Q9W0P5,-0.061902439,-0.018235007,-0.479371577,-0.58210159,0.11196609,0.129348967,-0.835059294,-0.816748528,-0.126769508,0.105007525,0.110764122,-0.152067215,-0.859142832,-0.921854744,-0.700450538,-0.511094293
Q9VWP2,1.528921324,1.414135533,-0.033599066,0.025028794,1.648971563,1.237869601,-0.416846811,-0.291697971,0.52717045,0.667937528,1.303459302,1.400920412,-0.650272396,-0.655171503,-0.048277938,0.0360461
Q9VRU1,-0.81911379,-0.790159888,-0.973100814,#VALUE!,0.157690514,-0.583614211,-1.06214341,-0.754139298,-0.663853746,-0.676756767,-0.894536465,-0.744922318,-1.444144588,-1.278128663,-1.239906826,-0.737254162
