Protein IDs,Alpha A30P_day_1_1, Alpha A30P_day_1_2, Alpha A30P_day_10_1, Alpha A30P_day_10_2, Alpha A53T_day_1_1, Alpha A53T_day_1_2, Alpha A53T_day_10_1, Alpha A53T_day_10_2, Alpha A53T_day_30_1, Alpha A53T_day_30_2, Alpha _day_1_1, Alpha _day_1_2, Alpha _day_10_1, Alpha _day_10_2, Alpha _day_30_1, Alpha _day_30_2
Q8IQN2;Q9VUY1,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
Q8IQN4;Q8MV37;A8JNT5;Q9VUX6;A8JNT4;A8JNT6;Q9VUX7,-1.025705649,-1.045610102,#VALUE!,#VALUE!,-1.926755589,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,-0.475815937,-1.30914491,0.036749476,-0.27784878,#VALUE!,-0.558006674
Q8IQN8;B7Z061,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,0.223793216,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,0.045023522
Q8IQS5,#VALUE!,#VALUE!,#VALUE!,#VALUE!,0.589284107,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,1.229403344,#VALUE!,-1.752193982
Q8IQU1;Q9VW30;Q9VW31;E1JI40,-1.775465737,-1.406904431,#VALUE!,-1.040467223,-2.626825109,-1.271496052,#VALUE!,#VALUE!,#VALUE!,#VALUE!,-3.269929627,-2.514325875,#VALUE!,#VALUE!,#VALUE!,#VALUE!
Q9VWB8;Q8IQV9,#VALUE!,#VALUE!,#VALUE!,-2.228773607,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,-1.954389284,#VALUE!,-1.131724137,#VALUE!,#VALUE!
Q8IQW2,#VALUE!,1.35901507,#VALUE!,0.360420466,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
Q8IR23,-0.878401006,0.33845294,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,-1.150817365,#VALUE!,#VALUE!,#VALUE!,#VALUE!
Q9VXP1;Q8IR26,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
Q8IR57,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
Q8IR86;Q9VYV8,#VALUE!,-0.769305103,#VALUE!,#VALUE!,2.95427077,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
Q8IRD2;Q9VZQ1,#VALUE!,#VALUE!,#VALUE!,#VALUE!,-0.072497924,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,-0.641738786,-0.607001236,#VALUE!,#VALUE!,#VALUE!,#VALUE!
Q9VZQ9;Q8IRD5,-1.757110965,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,-2.002599191,-1.958476638,#VALUE!,#VALUE!,-2.290462318,-1.267218512
Q8IRE3;Q9VZT1,#VALUE!,#VALUE!,#VALUE!,#VALUE!,-0.639669438,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
Q9VZV1;Q8IRE6,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
Q8IRG6;Q8IRG6-2,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,0.324925784,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
Q8IRH5-2;Q8IRH5,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
Q9W0I2;Q8IRH8,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
Q8IRI6-4;Q8IRI6,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
Q9W0T7;Q8IRJ7,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
Q8IRN0,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
Q9W4A1;Q8IRR5,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
Q8MKJ4,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
Q8MKJ5,#VALUE!,#VALUE!,#VALUE!,#VALUE!,-1.901957808,-0.840603317,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
Q8MKL1,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,-0.124786119,0.08024833,#VALUE!,#VALUE!
Q8MKN0,#VALUE!,-0.346059497,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
Q8MLQ0,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
Q8MLW4,-0.889022122,-1.192447236,#VALUE!,#VALUE!,#VALUE!,-0.949477407,#VALUE!,-0.160959517,#VALUE!,#VALUE!,0.506195692,-0.900045044,#VALUE!,#VALUE!,-0.758818787,0.453965265
Q8MM39;Q8MPN6;Q8MM49;Q8MPN8,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
Q8MMC6;Q0E8W1,-2.668409424,-2.188430327,#VALUE!,-1.064676042,-1.583073807,-2.542122082,-1.220950447,-0.521680466,#VALUE!,#VALUE!,-2.401329898,-2.378419294,-0.479069912,#VALUE!,-1.196310053,#VALUE!
Q8MQS4,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
Q8MR62,-1.132546294,-1.645750971,#VALUE!,#VALUE!,-1.493093445,-1.694134512,#VALUE!,#VALUE!,#VALUE!,#VALUE!,-1.4058719,-1.114285082,-0.229145588,#VALUE!,#VALUE!,#VALUE!
Q8MRI4,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,-1.467972357,-1.425539983,#VALUE!,-0.500197474,#VALUE!,#VALUE!
Q8MRP7,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
Q8MRS5;Q9VCE7;Q95R71,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
Q8MS27,-0.287694769,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
Q8MS59,#VALUE!,-0.621443987,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,-1.040229845
Q8MS69,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
Q8MSB1,#VALUE!,#VALUE!,#VALUE!,#VALUE!,-1.660269692,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
Q8MSS1,-1.229754491,-0.920597994,-0.954640909,-0.623309541,-1.5234213,-1.172213487,-1.090495686,#VALUE!,#VALUE!,#VALUE!,-1.529239297,-2.466735687,#VALUE!,#VALUE!,-0.872261081,0.457961944
Q8MSV1;Q9XZF0,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
Q8MT06,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
Q8MT48,#VALUE!,#VALUE!,#VALUE!,#VALUE!,0.291603558,-0.934289836,#VALUE!,#VALUE!,#VALUE!,#VALUE!,-0.726376695,-1.29385407,#VALUE!,#VALUE!,#VALUE!,#VALUE!
Q8MV48,-0.945443216,-0.822809318,#VALUE!,#VALUE!,-1.266350642,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,-1.956683495,-2.005087245,#VALUE!,#VALUE!,#VALUE!,#VALUE!
Q8MZ07,-1.368662856,-1.287289777,#VALUE!,1.203013171,-1.127872571,-1.410236513,#VALUE!,0.890874671,#VALUE!,#VALUE!,-1.303080309,-1.726997425,#VALUE!,#VALUE!,#VALUE!,#VALUE!
Q8SWR8;Q8SWR8-2;Q8SWR8-3,-0.977724522,-1.814869258,#VALUE!,-0.720255346,-1.646563782,-1.267426879,-0.811396517,-0.41788723,#VALUE!,#VALUE!,-1.214374125,-1.336281945,-0.76544963,#VALUE!,-0.441536427,-0.3703403
Q8SWS3;Q9VV16,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
Q8SWW9,-0.735739824,#VALUE!,#VALUE!,-0.623420662,#VALUE!,#VALUE!,#VALUE!,-0.599221641,-1.177196445,#VALUE!,-0.327185466,-0.415191395,#VALUE!,#VALUE!,#VALUE!,#VALUE!
Q8SX06,#VALUE!,#VALUE!,0.987611923,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,0.475084883,#VALUE!,#VALUE!,-0.354243014
Q8SX32,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
Q8SX35,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
Q8SX37,#VALUE!,0.048375705,1.162790092,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,0.413594082,0.578600636,-0.05051736,0.38603836
Q8SX89,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
Q8SX92;Q9W091,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
Q8SXC0,#VALUE!,#VALUE!,-1.041446821,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,-0.918087772,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
Q8SXE1,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
Q8SXK2,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
Q8SXP8;Q9W1I0,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
Q8SXS0,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
Q8SXU3,#VALUE!,#VALUE!,#VALUE!,#VALUE!,-1.276624927,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
Q8SXW3,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
Q8SXX2,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
Q8SY33,-1.967475934,-1.388770952,#VALUE!,-1.06187232,#VALUE!,#VALUE!,#VALUE!,-0.359101479,#VALUE!,#VALUE!,-1.356901135,-1.346811545,#VALUE!,#VALUE!,#VALUE!,#VALUE!
Q8SY41,-1.645299607,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
Q8SY58,0.529970829,-0.518184426,#VALUE!,-0.149680622,#VALUE!,0.146264195,-1.153189797,-1.140571067,#VALUE!,#VALUE!,#VALUE!,0.336283388,#VALUE!,-1.173547102,0.112366523,0.458382004
Q8SY67,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
Q8SYC4,-0.86079248,#VALUE!,#VALUE!,#VALUE!,-0.266437406,-0.55579942,#VALUE!,#VALUE!,#VALUE!,#VALUE!,-1.797764096,-1.477582618,#VALUE!,#VALUE!,#VALUE!,-1.211531441
Q8SYH8,#VALUE!,0.228603232,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,-0.112162829,#VALUE!,#VALUE!,-0.543908806
Q8SYL0,-1.066518005,#VALUE!,#VALUE!,#VALUE!,-1.537382235,#VALUE!,-1.054841805,#VALUE!,#VALUE!,#VALUE!,#VALUE!,-1.134540388,#VALUE!,#VALUE!,#VALUE!,#VALUE!
Q8SYL1,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
Q8SYP9,-1.431948432,-1.737542788,-1.225497555,-1.04590794,-1.699466228,-2.056911346,-1.184391783,#VALUE!,#VALUE!,#VALUE!,-2.087304154,-1.566442266,#VALUE!,#VALUE!,#VALUE!,#VALUE!
Q8SYQ8,#VALUE!,#VALUE!,0.541713066,-0.271112991,#VALUE!,#VALUE!,#VALUE!,0.462994607,#VALUE!,#VALUE!,#VALUE!,-0.409316549,#VALUE!,#VALUE!,0.240131118,#VALUE!
Q8SYS7-3;Q8SYS7-4;Q8SYS7-2;Q8SYS7,-1.9763614,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,-1.16197605,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
Q8SYU0,#VALUE!,#VALUE!,#VALUE!,#VALUE!,-0.283281214,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,1.001730196
Q8SYY6,#VALUE!,-1.266524174,#VALUE!,-0.88720647,-1.203701281,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,-1.17156339,-1.340404194,#VALUE!,#VALUE!,#VALUE!,-0.699887993
Q8SYY7,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
Q8SZ16,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
Q8SZ46,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
Q8SZ63,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
Q8SZ72,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
Q8SZ87,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
Q8SZB7,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
Q8SZY4;Q7K0L5,-1.382626281,-1.168479424,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
Q9VGL7;Q8T007,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
Q8T045,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,-1.618295787,#VALUE!,#VALUE!,#VALUE!,0.39791246
Q8T088,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
Q8T0I9;Q9VM97,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
Q8T0K1;Q9VAK7,-0.482915839,-0.015709609,#VALUE!,-1.602700837,#VALUE!,-0.764052418,#VALUE!,0.091530593,-1.821380957,#VALUE!,-0.904251076,0.290424404,0.339593501,0.260748328,#VALUE!,#VALUE!
Q8T0R1;Q9VCQ6,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
Q8T0R7,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,-0.708820826,-1.17078366,#VALUE!,#VALUE!,-0.44789841,-1.075611224
Q8T0S3,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
Q8T0S6,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
Q8T0T9,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
Q8T0V6,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
Q8T3L6,-0.390642165,#VALUE!,-0.874904397,0.488515009,-0.405241272,-0.195103876,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,-1.112131643,-0.588942611,#VALUE!,#VALUE!
Q9VHC6;Q8T3V6,-0.995534563,-0.876466228,0.776609369,0.337996464,-0.482996492,-1.363939228,#VALUE!,0.819177666,#VALUE!,#VALUE!,-0.6347106,-0.851495352,#VALUE!,#VALUE!,1.372562128,0.921969435
Q9VGQ4;Q8T3W8;Q9VGQ3,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
Q8T481,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
Q8T4C9,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
Q8T4F7-2;Q8T4F7-3;Q8T4F7-1;Q8T4F7,#VALUE!,#VALUE!,-1.39369044,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
Q8T8T9,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
Q8T8W2;Q6AWP0,#VALUE!,-0.263542324,#VALUE!,#VALUE!,-0.447229476,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
Q8T9B6,-0.267270601,-0.466376852,0.367594722,0.178873958,-0.503609237,-0.11323917,0.105678078,0.021763974,#VALUE!,#VALUE!,-0.270260175,-0.619824688,0.322158908,0.596935142,0.103665483,0.01592569
Q8WSF3;Q8WSF3-2,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
Q8WTC1,-1.835986111,#VALUE!,-1.245266394,-0.125305315,-1.75097949,-0.746204316,#VALUE!,#VALUE!,#VALUE!,#VALUE!,-1.48681248,0.12551886,-0.472008876,#VALUE!,#VALUE!,#VALUE!
Q94513,-1.055771231,#VALUE!,#VALUE!,#VALUE!,#VALUE!,-1.169420147,-0.939537512,#VALUE!,#VALUE!,#VALUE!,-0.701763998,#VALUE!,#VALUE!,-0.894107411,-0.870413637,#VALUE!
Q94519-2,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
Q94527-2;Q94527,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
Q94533,-0.65120104,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
Q94535,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
Q94547-2;Q94547,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
Q94883,-1.117349126,-0.409488998,-0.17049137,#VALUE!,0.620961697,#VALUE!,-0.747172616,0.340391357,#VALUE!,#VALUE!,-1.304469349,-0.320630253,-0.19450942,-0.593615716,#VALUE!,#VALUE!
